LINE,END_WORD
I can say lots with a little words or few like,like
"Like Adam had 'em, yeh, me, the madame",madame
Yeah I'll introduce you to the dooms do dooms,dooms
"Come let we go, do you like my perfumes?",perfumes
Made it at home with some gasoline and shrooms,shrooms
Oil and water are two extremes,extremes
"We like fucking carpets, you like fucking brooms",brooms
Why is your tattoo some ugly looking thing?,thing
I got many designs they're downloading on Bing,bing
My cousin got his G.C.S.E.'s decorating,decorating
He's handy you might need him when I finish what I'm saying,saying
"Let's be frank, you my Stan, I'm your Stan",stan
"I don't care what you smoke, what you fucking drank",drank
I'm allowed to be pissed at mates who are yanks,yanks
"'Cause it's not me and you, it's the fucking banks!",banks
Bring the noise when we run upon them! (Bring the noize when we run upon them!),them
"Truth is like a rotten tooth, you gotta spit it out",out
"Two bottom teeth, let my wisdom work it out",out
"The world is ours, send your soldier powers",powers
"These words I announce, hope you heard 'em like cows",cows
"Alpha Kenny buddy, Roger, Charlie, and Rich",rich
"Bitch, my swag bitches, but you can't touch this",this
"So click, click, click, please get off my dick",dick
Just 'cause I know more don't make me thick,thick
"I'm a overweight, heavyweight, female Slick Rick",rick
If you need the cheese then my shits gon' stick,stick
"I got bug spray, bucket, stick",stick
"Got tons of the fun stuff, tons and tons of it",it
My nan was a stamp on imported liquor brands,brands
Seventy two bottles at her birthday got drank,drank
I must say people I got her to freaking thank,thank
"I'm a party fucking animal, if you ain't, scram!",scram
"Party fucking animal, if you ain't, scram!",scram
"P-p-party fucking animal, if you ain't, scram!",scram
"My uncle jumped a boat, it took him to Iran",iran
What started as a life now it got him banned,banned
"Came in a hurry, not a white van",van
"Learnt that Sam, Ram, Chan, are the same man",man
Corrugated iron wooden shacks,shacks
Gated mansions next to XX,xx
Boys on motor bikes next to Maybachs,maybachs
We got backpacks next to kids from Kyzack,kyzack
Ex-convicts and diplomats,diplomats
Got rappers and Russians who don't pay tax,tax
These cards are stacked and this is out crack,crack
"Rewind, pull it, now bring it all back",back
I'm a parrot,parrot
I'm robin this joint,joint
Not a lyre bird,bird
Sure ain't a vulture,vulture
Don't swallow that cause I make the culture,culture
"I'm not a lyre bird, I'm not a lyre bird",bird
"Staying, staying rich like an ostrich",ostrich
Love ain't a albatross hanging 'round ya neck,neck
"Drink a sparrow, love is food, take a peck",peck
"Let's go to Turkey, swift like a rail",rail
"Can't pigeon hole, I'm epic like a Zeus tail",tail
Free up my love,love
Doves cry,cry
Are you going home alone?,alone
Squad flock,flock
Migrate for the summer,summer
"Duck out for, for some hot weather",weather
Birds of prey and I'm shaking off my feather,feather
"See the water foul, swing on a creeper",creeper
Like starlin dictating love on my speaker,speaker
"Hot flamingo, go bird emoji yo",yo
Monogamous like a swan going with the flow,flow
"Watch the sky, watch the sky",sky
"Watching, watching the sky",sky
"Watch the sky, watch",watch
Watch the sky,sky
"Watch the sky, watch, watch",watch
Is that a crow on a crain?,crain
Is that you or a plane?,plane
Where's your chicken at?,at
I'm watching like a hawk,hawk
"Aye, I need more birds!",birds
Gully like a seagull,seagull
"Gully like a, gully like a seagull",seagull
"I'm cuckoo for you, let's talk!",talk
"Staying, staying rich like ostrich",ostrich
Drop down get your eagle on,on
"Drop down, drop down like a falcon",falcon
"Drop down, drop down get your eagle on",on
"Drop down, fly phenomena",phenomena
Humming higher than a drone,drone
War war war,war
Talking bout you all is such a bore,bore
I'd rather talk about moi,moi
Do you know that cost of a.ks,aks
Up in Africa,africa
20 dollars ain't shit to you,you
But that's how much they are,are
So they gonna use the shit just to get far,far
"Is girls, diamonds",diamonds
Helping you?,you
Don't you like my bandanna?,bandanna
My stains hang low,low
On my shirts like ay yai ay,ay
Monkey brains and banana,banana
I'll hit you with my antana,antana
I put soap in my eye,eye
Make it red so I look raa,raa
Ra ra,ra
So I woke up with my holy quran and found out I like Cadillac,cadillac
So we shooting till the song is up,up
Little boys are acting up,up
Baby mothers are going crazy,crazy
And the leaders all round cracking up,up
We goat rich we fry,fry
Price of living in a shanty town just seem very high,high
We still like T.I.,ti
We still look fly,fly
Dancing as we shooting up,up
And lootin just to get by.,by
With your feet in the air and your head on the ground,ground
"Try this trick and spin it, yeah",yeah
Your head'll collapse when there's nothing in it,it
And you'll ask yourself,yourself
"""Where is my mind?""",mind
Who made me like this,this
Was it me and god in co-production,co production
My devil's on speed dial,dial
Everytime I take the wrong direction,direction
All I want is one thing and that is what you got,got
Sometimes I go lose my mind then I feel numb,numb
There's 24 hours in a day,day
"I used to spilt it 8, 8, 8",8
8 work,work
8 sleep,sleep
8 for play,play
Now I give it all it takes,takes
People on the Internet,internet
A new life for the intellect,intellect
People judge me so hard,hard
'cause I don't floss my titty set,set
I was born out of dirt like I'm porn in a skirt,skirt
I was a little girl who made good with all that I blurt,blurt
I put people on the map that never seen a map,map
I show 'em something they ain't never seen,seen
And hope they make it back!,back
Lights they bend and,and
Lights they bend and jump and always move really fast,fast
Colors emerge light box had me in their grasp,grasp
"We be rocking, we be rocking rocking in the car",car
Lights in sky goddess bumping a sitar,sitar
"These lights yeah, these lights yeah",yeah
Green colors looking nice yeah,yeah
Turn it up too loud all the lights will turn red,red
If you upstairs you can hear it in the bed,bed
Rainbows in my vision move into the rhythm,rhythm
Electic shadows in my ear got me dancing spinnin',spinnin
Northern lights on my mind all the colors rhyme,rhyme
Loving me all the time keep that on your timeline,timeline
I keep my distance even though I shine,shine
For me to tell you things you need to be the right kind,kind
Even though it's clear like a street sign,sign
Some people don't get it so I keep 'em in line,line
It's good to take a minute and take it all in,in
It's so important sometimes that I blow off steam,steam
Got to get another sweater from my helicopter,helicopter
Got to get a closer look at what they all stick at,at
Doesn't need some lights that I used to trick out,out
I got them from a Chinese dude I went to check out,out
People need to get some and put some in your pocket,pocket
You might need some later when you finally unlock it,it
Lights on ring cameras and things,things
Flashing like bling love loving when I sing,sing
Sparkles on the charcoal as a fire lit up,up
Headlights off a power in the city lit up,up
"All I wanna, all I wanna, all I wanna do",do
Is roll through the city star gazing with you,you
"Lights a selector, original nutter",nutter
I used to be a bad girl now I'm even better,better
I don't keep on berreta,berreta
I don't sell like a shotta,shotta
I don't often twitter,twitter
They still see me as a threat er,er
I'm counter to the counter,counter
Put your money on the counter,counter
"I'm standing at the counter say, ""Hi!"" to my hunter",hunter
I did as freaking Santa,santa
I eat at benne hanna,hanna
I can make em feel good,good
I'm running youth centers,centers
I'm aiming for the centers,centers
Sending light beams to sender,sender
I think we can make it,it
So sip a little winner,winner
I bongo with my lingo,lingo
"And beat it like a wing, yo",yo
"To combo, to Colombo",colombo
"Can't sterotype my thing, yo",yo
I salt and pepper my mango,mango
Shoot spit out the window,window
"Bingo, got him in the thing, yo",yo
"Now what? I'm doin' my thing, yo!",yo
Quit bending all my fingo,fingo
Quit beating me like you're Ringo,ringo
You wanna go?,go
You wanna win a war?,war
"Like PLO, I don't surrendo!",surrendo
The sunshowers that fall on my troubles,troubles
"Are over you, my baby",baby
"And sunshowers, I'll be aiming at you",you
"'Cause I'm watching you, my baby",baby
I checked that mouth on him,him
Fucking checked my gas on him,him
"I had him, cornered him",him
Fucking shut that gate on him,him
Why would you listen to him?,him
"He had his way, I'm bored of him",him
I'm tired of him,him
I don't wanna be as bad as him,him
"It's a bomb, yo",yo
"So run, yo",yo
"Put away your stupid gun, yo",yo
'Cause see though like protocol,protocol
Which is why we blow it up 'for we go,go
Semi-9 and snipered him,him
On that wall they posted him,him
They cornered him,him
And then just murdered him,him
He told them he didn't know them,them
"He wasn't there, they didn't know him",him
They showed him a picture then,then
"""Ain't that you with the Muslims?""",muslims
He got Colgate on his teeth,teeth
And Reebok Classics on his feet,feet
At a factory he does Nike,nike
And then he helps the family,family
Beat heartbeat,heartbeat
He's made it to the Newsweek,newsweek
Sweetheart seen it,it
He's doing it for the peeps' peace,peace
Oi Ga-Ra-To Pi-qa mine nu-mu-ro,nu mu ro
"Me leaga, you teaser",teaser
"My finger tips and the lips do the work, yeah",yeah
"My hips do the flicks as I walk, yeah",yeah
With a good head I came to make it,it
With a good head I came to break it,it
Did your Mama tell you about me,me
"What she say, ""Don? t go play there?""",there
Gonna make that hot boy want me,me
Gonna make that hot boy take me,me
Excuse me little Hombre,hombre
Take my number call me,me
I can get squeaky,squeaky
So you could come and oil me,me
Hoytu hoytu,hoytu
Cept cept,cept
(Cet cet),cet
"Cinko, quadro",quadro
Tres doie,doie
You can call me over,over
You can stick me,me
Stab me grind me or wind me,me
"Fuck, we can even ask your wifey",wifey
Rich bored at home with a kiddie,kiddie
She don? t know about you getting nookie,nookie
'Member when you first started,started
"Call me, you had a ticket waitin? for me",me
Said you wanna meet in Miami,miami
So we can start a family,family
"London calling, speak the slang now",now
"Boys say whagwan, girls say wha-what",wha what
Slam galang galang galang,galang
"Shotgun, get down",down
"Get down, get down, get down",down
"Get get get down, g-down g-down",g down
Too late you down down down down,down
Ta na ta na ta na ta na ta na ta,ta
Blaze-a-blaze galang-a-lang-a-lang-lang,galang a lang a lang lang
Purple haze galang-a-lang-a-lang,galang a lang a lang
Who the hell is huntin' you?,you
In the BMW,bmw
How the hell they find you?,you
1-4-7'd you,you
Feds gonna get you,you
Pull the strings on the hood,hood
One paranoid you,you
Blazing through the hood,hood
They say,say
River's gonna run through,through
Work is gonna save you,you
Pray and you will pull through,through
Suck a dick'll help you,you
Don't let 'em get to you,you
"If he's got one, you've got two",two
Backstab your crew,crew
Sell it out to sell you,you
"o focus lost, I concentrate",concentrate
And now you got it wrong,wrong
"No focus lost, I concentrate",concentrate
People love position,position
So I stay way up on a level,level
Like my name is Neymar and you know I'm not normal,normal
There is no competition,competition
I'm gonna talk and you gonna listen,listen
"I'm on ten like men, even better than them",them
Yeah I don't lose focus like a German called Sven,sven
My third eye's open and my focus ain't joking,joking
"Yeah You got it wrong, cause my focus is so strong",strong
Run-pama pama pa-pama pama pama,pama
Go off on em,em
Yeah I'm pressing buttons,buttons
Dropping pins on positions,positions
Cause my words go far,far
And this rain is so foreign,foreign
You blow the place I live in while,while
Watch I could keep it going,going
So check up on your messages,messages
Know what the message is,is
Like aliens in villages,villages
We're here for all ages,ages
Fans back home,home
Got my tracks bang on,on
Yeah you got it wrong,wrong
Cause my focus is so strong,strong
Run pama pama pa-pama pama pama,pama
At least you tell your children I came from London,london
Start talking about me long time like she was random,random
"When I was in your life fella, I was hella bomb",bomb
But I had to go off just to stay strong,strong
"Jump in, ju",ju
"Jump in, jump in",in
Zip up my jacket,jacket
Put my phone in my pocket,pocket
Keep my mind open,open
I'm tryna not to lock it,it
I make a plan,plan
Put it in god's hand,hand
And Jump in to that van,van
Wake up wake up,up
Your life on take up,up
Go thank that maker,maker
Get your life on fleek and take off,off
Get your life thank that maker,maker
Get your life,life
You got to keep that shit fine,fine
I gon' make you mine,mine
When I see that border I gon' cross the line,line
"(That border, see that border)",border
When I see that dream I gon' make it mine,mine
(make it make it),it
We go we go take off take off,off
Go hit the sea hit the sea like,like
Noah's ark illegal,illegal
I'm here to paint what is written on ya face,face
'Cause these are the days we are losing our ways,ways
To find better ways to say what nobody says,says
We're living on the edge,edge
And my motorcycle's speeding,speeding
It iz what it iz,iz
And this is how I'm feeling,feeling
"It iz what it iz, shorty",shorty
I got affected but I effect a lot more,more
They all got issues but I got a bit more,more
I put it in boxes and I put it in a store,store
"I hope you really like it, I can do you some more",more
"Yeah, I'm gonna say something",something
Even if you think it's nothing,nothing
'Cause one day you are gonna say that,that
Today was bumping,bumping
And someday you are gonna say that,that
Maybe it's just us or maybe it just me,me
We can have discussions while we are playin' Wii,wii
"It iz what it iz, shorty, what it iz, shorty",shorty
It's so simple get to the floor,floor
M-a-m-a mamama,mamama
Atanatantan tananan,tananan
"Matangi, matangi",matangi
Somalia bosnia,bosnia
Cuba colombia,colombia
Ecuador mexico,mexico
Bhutan morocco,morocco
Botswana ghana,ghana
India serbia,serbia
Libya lebanon,lebanon
Gambia nambia,nambia
Bali mali,mali
Chile malawi,malawi
Bequai st vincent,vincent
Trinidad and norway,norway
China canada,canada
U.s.a. And u.k,uk
Nepal nigeria,nigeria
Ethiopia north k,k
Myanmar panama,panama
Philippines nicaragua,nicaragua
Palestine and greece,greece
Peru and france,france
It's so simple do the dance,dance
Oi oi oi oi oi oi oi,oi
Iano inna iano ina,ina
Pretty raw,raw
Get to the floor,floor
Came up listening to war war,war
Weekend trips to singapore,singapore
Preach like a priest,priest
I sing like a whore,whore
Do you want more?,more
Do you know what I got in store?,store
Immina immina thana thana,thana
Ingana ingana giiina giiina,giiina
I'm ice cream,cream
And you're so bait,bait
They got guns but it points the wrong way,way
Yeah I'm on it they cirque de soleil,soleil
They make big sounds with nothing to say,say
School of fakeness,fakeness
I'm school of hard knocks,knocks
You're here to fool us,us
I'm here to take shots,shots
"Look-alike, copycat",copycat
"Doppleganger, fraud",fraud
They ain't got nothing on me,me
Now I'm getting bored,bored
If your gonna be me you need a manifesto,manifesto
If you ain't got one you better get one presto,presto
Yeah you got money we sell bootlegs only,only
When the shit counts our numbers way plenty,plenty
We started at the bottom but drake gets all the credit,credit
Paper route or life route yeah we be ready,ready
Iano inna iano inabug spray bug spray bug spray,spray
You can watch TV and watch the media,media
President Bush doing takeover,takeover
Kate Moss in ads for mascara,mascara
All my youth the young offender,offender
"The bill payers, the drug dealers",dealers
Girls who are magazine covers,covers
The part-time jobbers at the call center,center
No career plans cause you won't go far,far
Put away change for Ibiza and,and
Check your credit on your new Nokia,nokia
You can be a follower but who's your leader?,leader
Break the cycle or it will kill you,you
"You leader, you lead, uh, do what you do",do
What really good's gonna happen to you?,you
Your prime minister to your employer,employer
Ego lovers need more power,power
Trendsetters make things better,better
Don't sell out to be product pushers,pushers
The gyro casher and baby makers,makers
Try something new cause it ain't over,over
All poor people from all over,over
Lottery's got a rollover,rollover
Break the cycle or it will kill yaou,yaou
"Cherokee Indian, Iraqi and Indians",indians
Girls and me girls when they come to the fellas and,and
"Japanese, Moroccan, Caribbean, African",african
That's your life but who the fuck's your president?,president
You don't get my life cause I don't have a side and I,i
Spread dat boy 'im a mile wide and I,i
"Got brown skin, I'm a west Londoner",londoner
"Educated, but a refugee, still.",still
"You wanna boy, you're old, you go",go
"You wanna fight, you suck, you blow",blow
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
